student20_3.c, E-SxA-01, chýbajúca zátvorka, 1
student20_4.c, E-LA-01, neidentifikovateľný reťazec, 1
student20_4.c, E-SxA-01, chýbajúca zátvorka, 1
student20_5.c, E-LA-01, neidentifikovateľný reťazec, 1
student20_5.c, E-SxA-01, chýbajúca zátvorka, 1
student20_6.c, E-LA-01, neidentifikovateľný reťazec, 1
student20_6.c, E-SxA-01, chýbajúca zátvorka, 1
student20_7.c, E-LA-01, neidentifikovateľný reťazec, 1
student20_7.c, E-SxA-01, chýbajúca zátvorka, 1
student20_8.c, E-LA-01, neidentifikovateľný reťazec, 1
student20_8.c, E-SxA-01, chýbajúca zátvorka, 1
student20_9.c, E-LA-01, neidentifikovateľný reťazec, 1
student20_9.c, E-SxA-01, chýbajúca zátvorka, 1
student21_1.c, E-RP-05, dlho aktívna premenná, 5
student21_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student21_2.c, E-RP-05, dlho aktívna premenná, 5
student21_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student22_1.c, E-RP-05, dlho aktívna premenná, 2
student22_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student22_2.c, E-RP-05, dlho aktívna premenná, 7
student22_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student22_3.c, E-RP-05, dlho aktívna premenná, 7
student22_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student22_4.c, E-RP-05, dlho aktívna premenná, 7
student22_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student23_1.c, E-RP-05, dlho aktívna premenná, 1
student23_1.c, W-01, využívanie globálnej premennej, 4
student23_10.c, E-RP-05, dlho aktívna premenná, 9
student23_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_10.c, W-01, využívanie globálnej premennej, 3
student23_11.c, E-RP-05, dlho aktívna premenná, 9
student23_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_11.c, W-01, využívanie globálnej premennej, 3
student23_12.c, E-RP-05, dlho aktívna premenná, 10
student23_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_12.c, W-01, využívanie globálnej premennej, 3
student23_13.c, E-RP-05, dlho aktívna premenná, 10
student23_13.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_13.c, W-01, využívanie globálnej premennej, 3
student23_14.c, E-RP-05, dlho aktívna premenná, 10
student23_14.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_14.c, W-01, využívanie globálnej premennej, 3
student23_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student23_2.c, E-RP-05, dlho aktívna premenná, 1
student23_2.c, W-01, využívanie globálnej premennej, 4
student23_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student23_3.c, E-RP-05, dlho aktívna premenná, 1
student23_3.c, W-01, využívanie globálnej premennej, 4
student23_4.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student23_4.c, E-RP-05, dlho aktívna premenná, 1
student23_4.c, W-01, využívanie globálnej premennej, 4
student23_5.c, E-RP-05, dlho aktívna premenná, 7
student23_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_5.c, W-01, využívanie globálnej premennej, 3
student23_6.c, E-RP-05, dlho aktívna premenná, 7
student23_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_6.c, W-01, využívanie globálnej premennej, 3
student23_7.c, E-RP-05, dlho aktívna premenná, 7
student23_7.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_7.c, W-01, využívanie globálnej premennej, 3
student23_8.c, E-RP-05, dlho aktívna premenná, 7
student23_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_8.c, W-01, využívanie globálnej premennej, 3
student23_9.c, E-RP-05, dlho aktívna premenná, 7
student23_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student23_9.c, W-01, využívanie globálnej premennej, 3
student24_1.c, E-RP-05, dlho aktívna premenná, 6
student24_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student24_1.c, W-01, využívanie globálnej premennej, 2
student24_2.c, E-RP-05, dlho aktívna premenná, 6
student24_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student24_2.c, W-01, využívanie globálnej premennej, 2
student24_3.c, E-RP-05, dlho aktívna premenná, 6
student24_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student24_3.c, W-01, využívanie globálnej premennej, 2
student24_4.c, E-RP-05, dlho aktívna premenná, 8
student24_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student24_4.c, W-01, využívanie globálnej premennej, 2
student24_5.c, E-RP-05, dlho aktívna premenná, 8
student24_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student24_5.c, W-01, využívanie globálnej premennej, 2
student25_1.c, E-RP-05, dlho aktívna premenná, 3
student25_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student25_2.c, E-RP-05, dlho aktívna premenná, 3
student25_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student25_3.c, E-RP-05, dlho aktívna premenná, 3
student25_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student25_4.c, E-RP-05, dlho aktívna premenná, 3
student25_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student25_5.c, E-RP-05, dlho aktívna premenná, 3
student25_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_1.c, E-RP-05, dlho aktívna premenná, 10
student26_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_1.c, W-01, využívanie globálnej premennej, 2
