student53_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student54_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student54_1.c, E-RP-05, dlho aktívna premenná, 9
student55_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student55_1.c, E-RP-05, dlho aktívna premenná, 4
student55_1.c, E-RP-05, dlho aktívna premenná, 6
student55_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student55_2.c, E-RP-05, dlho aktívna premenná, 4
student55_2.c, E-RP-05, dlho aktívna premenná, 6
student56_1.c, E-RP-05, dlho aktívna premenná, 7
student56_2.c, E-RP-05, dlho aktívna premenná, 7
student56_3.c, E-RP-05, dlho aktívna premenná, 7
student56_4.c, E-RP-05, dlho aktívna premenná, 7
student56_5.c, E-RP-05, dlho aktívna premenná, 7
student56_6.c, E-RP-05, dlho aktívna premenná, 7
student56_7.c, E-RP-05, dlho aktívna premenná, 7
student57_1.c, E-ST-03, nedeklarovaná premenná, 20
student58_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student59_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student5_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student6_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student6_1.c, E-RP-05, dlho aktívna premenná, 6
student6_1.c, E-RP-05, dlho aktívna premenná, 7
student6_1.c, E-RP-05, dlho aktívna premenná, 8
student6_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student6_2.c, E-RP-05, dlho aktívna premenná, 6
student6_2.c, E-RP-05, dlho aktívna premenná, 7
student6_2.c, E-RP-05, dlho aktívna premenná, 8
student6_2.c, E-RP-05, dlho aktívna premenná, 9
student7_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student8_1.c, W-01, využívanie globálnej premennej, 5
student8_1.c, W-01, využívanie globálnej premennej, 6
student8_1.c, W-01, využívanie globálnej premennej, 7
student9_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student9_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student9_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
