Názov súboru, Kód chyby, Chybová správa, Počet výskytov
student36_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student37_1.c, E-RP-05, dlho aktívna premenná, 1
student37_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student38_1.c, E-RP-05, dlho aktívna premenná, 1
student38_2.c, E-RP-05, dlho aktívna premenná, 1
student38_3.c, E-RP-05, dlho aktívna premenná, 1
student39_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student3_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student3_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student40_1.c, E-RP-05, dlho aktívna premenná, 3
student40_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student40_2.c, E-RP-05, dlho aktívna premenná, 3
student40_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student41_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student41_1.c, E-RP-05, dlho aktívna premenná, 3
student41_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student41_2.c, E-RP-05, dlho aktívna premenná, 2
student42_1.c, E-RP-05, dlho aktívna premenná, 2
student42_2.c, E-RP-05, dlho aktívna premenná, 2
student44_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student45_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student48_1.c, E-RP-05, dlho aktívna premenná, 1
student48_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student49_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student49_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student49_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student50_1.c, E-RP-05, dlho aktívna premenná, 2
student50_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student50_2.c, E-RP-05, dlho aktívna premenná, 2
student50_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student50_3.c, E-RP-05, dlho aktívna premenná, 2
student50_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student50_4.c, E-RP-05, dlho aktívna premenná, 2
student50_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student50_5.c, E-RP-05, dlho aktívna premenná, 2
student50_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student51_1.c, E-RP-05, dlho aktívna premenná, 2
student51_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student51_2.c, E-ST-01, neinicializovaná premenná, 6
student51_2.c, E-RP-05, dlho aktívna premenná, 1
student51_3.c, E-RP-05, dlho aktívna premenná, 1
student51_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student51_4.c, E-RP-05, dlho aktívna premenná, 1
student51_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student52_1.c, E-RP-05, dlho aktívna premenná, 3
student52_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student52_2.c, E-RP-05, dlho aktívna premenná, 3
student52_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student53_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student54_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student54_1.c, E-RP-05, dlho aktívna premenná, 1
student55_1.c, E-RP-05, dlho aktívna premenná, 2
