student14_14.c, E-RP-05, dlho aktívna premenná, 158
student14_15.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_15.c, E-RP-05, dlho aktívna premenná, 228
student14_15.c, W-01, využívanie globálnej premennej, 6
student14_15.c, E-RP-05, dlho aktívna premenná, 198
student14_15.c, E-RP-05, dlho aktívna premenná, 46
student14_15.c, E-RP-05, dlho aktívna premenná, 174
student14_15.c, E-RP-05, dlho aktívna premenná, 47
student14_15.c, E-RP-05, dlho aktívna premenná, 16
student14_15.c, E-RP-05, dlho aktívna premenná, 144
student14_15.c, E-RP-05, dlho aktívna premenná, 17
student14_15.c, E-RP-05, dlho aktívna premenná, 213
student14_15.c, E-RP-05, dlho aktívna premenná, 92
student14_15.c, E-RP-05, dlho aktívna premenná, 158
student14_16.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_16.c, W-01, využívanie globálnej premennej, 6
student14_16.c, E-RP-05, dlho aktívna premenná, 232
student14_16.c, E-RP-05, dlho aktívna premenná, 202
student14_16.c, E-RP-05, dlho aktívna premenná, 46
student14_16.c, E-RP-05, dlho aktívna premenná, 174
student14_16.c, E-RP-05, dlho aktívna premenná, 47
student14_16.c, E-RP-05, dlho aktívna premenná, 16
student14_16.c, E-RP-05, dlho aktívna premenná, 144
student14_16.c, E-RP-05, dlho aktívna premenná, 17
student14_16.c, E-RP-05, dlho aktívna premenná, 217
student14_16.c, E-RP-05, dlho aktívna premenná, 92
student14_16.c, E-RP-05, dlho aktívna premenná, 158
student14_17.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_17.c, E-RP-05, dlho aktívna premenná, 163
student14_17.c, W-01, využívanie globálnej premennej, 6
student14_17.c, E-RP-05, dlho aktívna premenná, 231
student14_17.c, E-RP-05, dlho aktívna premenná, 201
student14_17.c, E-RP-05, dlho aktívna premenná, 47
student14_17.c, E-RP-05, dlho aktívna premenná, 175
student14_17.c, E-RP-05, dlho aktívna premenná, 16
student14_17.c, E-RP-05, dlho aktívna premenná, 48
student14_17.c, E-RP-05, dlho aktívna premenná, 144
student14_17.c, E-RP-05, dlho aktívna premenná, 17
student14_17.c, E-RP-05, dlho aktívna premenná, 49
student14_17.c, E-RP-05, dlho aktívna premenná, 18
student14_17.c, E-RP-05, dlho aktívna premenná, 216
student14_17.c, E-RP-05, dlho aktívna premenná, 94
student14_17.c, E-RP-05, dlho aktívna premenná, 158
student14_18.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_18.c, E-RP-05, dlho aktívna premenná, 163
student14_18.c, W-01, využívanie globálnej premennej, 6
student14_18.c, E-RP-05, dlho aktívna premenná, 230
student14_18.c, E-RP-05, dlho aktívna premenná, 200
student14_18.c, E-RP-05, dlho aktívna premenná, 47
student14_18.c, E-RP-05, dlho aktívna premenná, 175
student14_18.c, E-RP-05, dlho aktívna premenná, 16
student14_18.c, E-RP-05, dlho aktívna premenná, 48
student14_18.c, E-RP-05, dlho aktívna premenná, 144
student14_18.c, E-RP-05, dlho aktívna premenná, 17
student14_18.c, E-RP-05, dlho aktívna premenná, 49
student14_18.c, E-RP-05, dlho aktívna premenná, 18
student14_18.c, E-RP-05, dlho aktívna premenná, 215
student14_18.c, E-RP-05, dlho aktívna premenná, 94
student14_18.c, E-RP-05, dlho aktívna premenná, 158
student14_2.c, E-RP-05, dlho aktívna premenná, 224
student14_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_2.c, E-RP-05, dlho aktívna premenná, 194
student14_2.c, W-01, využívanie globálnej premennej, 6
student14_2.c, E-RP-05, dlho aktívna premenná, 173
student14_2.c, E-RP-05, dlho aktívna premenná, 46
student14_2.c, E-RP-05, dlho aktívna premenná, 47
student14_2.c, E-RP-05, dlho aktívna premenná, 16
student14_2.c, E-RP-05, dlho aktívna premenná, 17
student14_2.c, E-RP-05, dlho aktívna premenná, 145
student14_2.c, E-RP-05, dlho aktívna premenná, 209
student14_2.c, E-RP-05, dlho aktívna premenná, 93
student14_2.c, E-RP-05, dlho aktívna premenná, 159
student14_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_3.c, E-RP-05, dlho aktívna premenná, 228
student14_3.c, W-01, využívanie globálnej premennej, 6
student14_3.c, E-RP-05, dlho aktívna premenná, 198
student14_3.c, E-RP-05, dlho aktívna premenná, 46
student14_3.c, E-RP-05, dlho aktívna premenná, 47
student14_3.c, E-RP-05, dlho aktívna premenná, 175
